order,A3,A5,Cf,Nu,Ns0,Be0
Al2O3-Cu-TiO2,2.3703702978070695,2.8908237106239345,0.23201677996520223,1.4638724436517063,0.6688077273063998,0.9476924424571999
Al2O3-TiO2-Cu,2.3703703139535413,3.030939401233909,0.23201678038341855,1.4707953344737432,0.6442950543460114,0.9457023631725108
Cu-Al2O3-TiO2,2.3703702974188245,2.8609591241275107,0.2320167799552156,1.4622704508863942,0.674246073633808,0.9481143457194254
Cu-TiO2-Al2O3,2.3703703130476383,2.9561370665304834,0.23201678036010603,1.4672182900087276,0.6571805204823026,0.9467669875024074
TiO2-Al2O3-Cu,2.3703703256751516,3.1168499642088854,0.23201678068711162,1.474585815470513,0.6300340900605621,0.9444733236501153
TiO2-Cu-Al2O3,2.3703703251574937,3.068660058319989,0.23201678067378093,1.4725003194876762,0.6379645403069619,0.9451635682050825
